135.0,135.0,0.0,23.0
91,111.0,3269.0,806.0
42.0,16.0,1571.0,546.0
94,89.0,2661.0,1245.0
A30,A35,1025.0,308.0
121.0,116.0,1811.0,539.0
150,41.0,1404.0,340.0
268,268.0,2060.0,842.0
36,34.0,697.0,185.0
62.0,64.0,796.0,222.0
561,705.0,3079.0,812.0
30.0,61.0,870.0,248.0
15.0,122.0,1929.0,486.0
36.0,23.0,1059.0,342.0
37,41.0,1796.0,562.0
45,44.0,594.0,179.0
119,114.0,1345.0,544.0
715,715.0,1911.0,1338.0
79,25.0,2411.0,501.0
44,6.0,3855.0,1384.0
116,31.0,4142.0,892.0
259,255.0,614.0,221.0
77,77.0,0.0,7.0
123,121.0,1014.0,316.0
1.0,5.0,2166.0,1076.0
21,137.0,4116.0,1006.0
78,78.0,4275.0,1329.0
21.0,4.0,1719.0,643.0
72,63.0,1905.0,788.0
A41,A05,690.0,277.0
275,275.0,16.0,46.0
163.0,89.0,3506.0,1101.0
114,107.0,2544.0,464.0
260,257.0,686.0,345.0
162.0,1.0,3013.0,1395.0
29.0,100.0,6668.0,1787.0
26,53.0,3655.0,1104.0
4,36.0,2153.0,1755.0
4,27.0,896.0,343.0
5,54.0,4026.0,1278.0
40.0,40.0,0.0,41.0
12.0,47.0,187.0,149.0
95.0,94.0,522.0,228.0
581.0,573.0,1262.0,328.0
34.0,75.0,1374.0,285.0
41.0,86.0,4079.0,1011.0
20.0,42.0,1598.0,463.0
49.0,4.0,326.0,156.0
4,1.0,1390.0,689.0
116,34.0,2727.0,796.0
61.0,30.0,724.0,190.0
96,549.0,5915.0,1724.0
573.0,509.0,1658.0,407.0
6,9.0,984.0,274.0
725,725.0,2420.0,2218.0
138,239.0,3491.0,1047.0
125,125.0,2681.0,9812.0
29.0,90.0,4016.0,847.0
27.0,27.0,0.0,26.0
30.0,68.0,1500.0,411.0
21.0,46.0,1713.0,533.0
145,142.0,545.0,143.0
86,73.0,2651.0,1198.0
28.0,54.0,3457.0,781.0
126,66.0,5296.0,1474.0
21.0,12.0,1617.0,638.0
541,543.0,659.0,185.0
627,627.0,5552.0,2003.0
34,106.0,4094.0,1251.0
2.0,21.0,3955.0,1651.0
145.0,113.0,1870.0,420.0
40.0,23.0,1611.0,553.0
A22,A18,1092.0,347.0
